FROM,TO,R,X,B,STATUS,TAP
1,2,0.117,0.048,0,1,1
2,3,0.1073,0.044,0,1,1
3,4,0.1645,0.0457,0,1,1
4,5,0.1495,0.0415,0,1,1
5,6,0.1495,0.0415,0,1,1
6,7,0.3144,0.054,0,1,1
7,8,0.2096,0.036,0,1,1
8,9,0.3144,0.054,0,1,1
9,10,0.2096,0.036,0,1,1
10,11,0.131,0.0225,0,1,1
11,12,0.1048,0.018,0,1,1
3,13,0.1572,0.027,0,1,1
13,14,0.2096,0.036,0,1,1
14,15,0.1048,0.018,0,1,1
15,16,0.0524,0.009,0,1,1
6,17,0.1794,0.0498,0,1,1
17,18,0.1645,0.0457,0,1,1
18,19,0.2079,0.0473,0,1,1
19,20,0.189,0.043,0,1,1
20,21,0.189,0.043,0,1,1
21,22,0.262,0.045,0,1,1
22,23,0.262,0.045,0,1,1
23,24,0.3144,0.054,0,1,1
24,25,0.2096,0.036,0,1,1
25,26,0.131,0.0225,0,1,1
26,27,0.1048,0.018,0,1,1
7,28,0.1572,0.027,0,1,1
28,29,0.1572,0.027,0,1,1
29,30,0.1572,0.027,0,1,1
10,31,0.1572,0.027,0,1,1
31,32,0.2096,0.036,0,1,1
32,33,0.1572,0.027,0,1,1
33,34,0.1048,0.018,0,1,1
