NODES,Tb,PD,QD,Pct,Ict,Zct
1,1,0,0,1,0,0
2,0,387.09,254.3625,1,0,0
3,0,0,0,1,0,0
4,0,387.09,254.3625,1,0,0
5,0,387.09,254.3625,1,0,0
6,0,0,0,1,0,0
7,0,0,0,1,0,0
8,0,387.09,254.3625,1,0,0
9,0,387.09,254.3625,1,0,0
10,0,0,0,1,0,0
11,0,387.09,254.3625,1,0,0
12,0,230.571,149.94,1,0,0
13,0,121.176,80.325,1,0,0
14,0,121.176,80.325,1,0,0
15,0,121.176,80.325,1,0,0
16,0,22.7205,13.3875,1,0,0
17,0,387.09,254.3625,1,0,0
18,0,387.09,254.3625,1,0,0
19,0,387.09,254.3625,1,0,0
20,0,387.09,254.3625,1,0,0
21,0,387.09,254.3625,1,0,0
22,0,387.09,254.3625,1,0,0
23,0,387.09,254.3625,1,0,0
24,0,387.09,254.3625,1,0,0
25,0,387.09,254.3625,1,0,0
26,0,387.09,254.3625,1,0,0
27,0,230.571,151.725,1,0,0
28,0,126.225,85.68,1,0,0
29,0,126.225,85.68,1,0,0
30,0,126.225,85.68,1,0,0
31,0,95.931,66.9375,1,0,0
32,0,95.931,66.9375,1,0,0
33,0,95.931,66.9375,1,0,0
34,0,95.931,66.9375,1,0,0
